# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
1.517208080013425153e+01 1.192543854828998981e-02 2.997518646613891491e+01 1.192543854828998981e-02 4.631751186654594541e+07 5.523566414741859771e+05
-7.094504589376726678e-01 8.432558466119309537e-03 1.338420474812931715e+01 2.065546546817869852e-02 2.886512296740980865e+00 5.962225506880652198e-02
-1.757616295531030381e-01 8.432558466119309537e-03 1.303268148902311196e+01 2.666609125547282633e-02 2.030994747622000496e+00 5.415869127947427197e-02
3.276897167015210832e-01 8.432558466119309537e-03 1.368806092242615335e+01 3.155174467415845091e-02 3.911438189989704384e+00 1.234126990793076445e-01
-2.082141324910153635e-01 8.432558466119309537e-03 1.327163265744412257e+01 3.577631564486997290e-02 2.579193788214124705e+00 9.227405107643643634e-02
8.310604349252471643e-03 8.432558466119309537e-03 1.328825386614262705e+01 3.955220512511849890e-02 2.622421358492859067e+00 1.037225474956014748e-01
-2.803825549837615783e-02 8.432558466119309537e-03 1.323217735514587545e+01 4.299778016825440280e-02 2.479412315684884849e+00 1.066092256962812568e-01
8.223445014557989596e-03 8.432558466119309537e-03 1.324862424517499093e+01 4.618702489374709036e-02 2.520528124152624727e+00 1.164156952156269326e-01
-8.320003449482242519e-02 8.432558466119309537e-03 1.308222417618534550e+01 4.916984276641217511e-02 2.134149877732948397e+00 1.049358139280868601e-01
4.205566431550829265e-02 8.432558466119309537e-03 1.316633550481636128e+01 5.198178148940046928e-02 2.321421497032813974e+00 1.206716250035566457e-01
-3.680970615213548930e-02 8.432558466119309537e-03 1.309271609251208979e+01 5.464922484308317591e-02 2.156659075504078871e+00 1.178597467270983135e-01
6.351764540258719033e-05 8.432558466119309537e-03 1.309284312780289561e+01 5.719239411921781674e-02 2.156933064719686044e+00 1.233601659262206218e-01
-2.438291421898419395e-03 8.432558466119309537e-03 1.308796654495909806e+01 5.962719274144995946e-02 2.146440207379362697e+00 1.279862039534070961e-01
-9.914437688998544319e-04 8.432558466119309537e-03 1.308598365742129843e+01 6.196639640453609904e-02 2.142188274786753777e+00 1.327436878085853089e-01
-1.439024717202519454e-02 8.432558466119309537e-03 1.305720316307724715e+01 6.422045197989645349e-02 2.081413792074460201e+00 1.336693344842120601e-01
