# freqs_THz  cepf_psd cepf_logpsd
# 
0.000000000000000000e+00 7.177691085059866309e+05 1.311492808628720219e+01
1.000280078421958256e-02 7.177505868651628261e+05 1.330804946205897998e+01
2.000560156843916512e-02 7.176950692792754853e+05 1.330797210965531718e+01
3.000840235265874942e-02 7.176026976546418155e+05 1.330784339542348427e+01
4.001120313687833024e-02 7.174737081572735915e+05 1.330766362869163189e+01
5.001400392109790760e-02 7.173084306975478539e+05 1.330743324185312737e+01
6.001680470531749884e-02 7.171072882117009722e+05 1.330715278970175497e+01
7.001960548953709007e-02 7.168707957427820656e+05 1.330682294857836645e+01
8.002240627375666049e-02 7.165995593250386883e+05 1.330644451533065897e+01
9.002520705797624478e-02 7.162942746758542489e+05 1.330601840608716913e+01
1.000280078421958152e-01 7.159557257004819112e+05 1.330554565484738738e+01
1.100308086264154134e-01 7.155847828154775780e+05 1.330502741189009797e+01
1.200336094106349977e-01 7.151824010972089600e+05 1.330446494200205265e+01
1.300364101948545681e-01 7.147496182625670917e+05 1.330385962252952226e+01
1.400392109790741801e-01 7.142875524897659197e+05 1.330321294125577936e+01
1.500420117632937367e-01 7.137974000870948657e+05 1.330252649410705246e+01
1.600448125475133210e-01 7.132804330186794978e+05 1.330180198269073522e+01
1.700476133317329053e-01 7.127379962961801793e+05 1.330104121166911213e+01
1.800504141159524896e-01 7.121715052458258579e+05 1.330024608597223512e+01
1.900532149001720739e-01 7.115824426608682843e+05 1.329941860785435459e+01
2.000560156843916304e-01 7.109723558491348522e+05 1.329856087379760510e+01
2.100588164686112147e-01 7.103428535862313583e+05 1.329767507126782711e+01
2.200616172528308268e-01 7.096956029845421435e+05 1.329676347532686265e+01
2.300644180370504110e-01 7.090323262885711156e+05 1.329582844510632533e+01
2.400672188212699953e-01 7.083547976070389850e+05 1.329487242014784520e+01
2.500700196054895796e-01 7.076648395921518095e+05 1.329389791661503573e+01
2.600728203897091362e-01 7.069643200763833011e+05 1.329290752338265946e+01
2.700756211739287482e-01 7.062551486769539770e+05 1.329190389800863059e+01
2.800784219581483603e-01 7.055392733777352842e+05 1.329088976259430943e+01
2.900812227423679168e-01 7.048186770986864576e+05 1.328986789953960113e+01
3.000840235265874734e-01 7.040953742619025288e+05 1.328884114719849308e+01
3.100868243108070299e-01 7.033714073634294327e+05 1.328781239544140114e+01
3.200896250950266420e-01 7.026488435596169438e+05 1.328678458113083494e+01
3.300924258792462540e-01 7.019297712761047296e+05 1.328576068351664929e+01
3.400952266634658105e-01 7.012162968474455411e+05 1.328474371955778821e+01
3.500980274476853671e-01 7.005105411945111118e+05 1.328373673917699271e+01
3.601008282319049791e-01 6.998146365466512507e+05 1.328274282045552646e+01
3.701036290161245357e-01 6.991307232147403993e+05 1.328176506477461416e+01
3.801064298003441477e-01 6.984609464211524464e+05 1.328080659191102342e+01
3.901092305845637598e-01 6.978074531913908431e+05 1.327987053509320958e+01
4.001120313687832608e-01 6.971723893124848837e+05 1.327896003602586994e+01
4.101148321530028729e-01 6.965578963619119022e+05 1.327807823988969282e+01
4.201176329372224294e-01 6.959661088104980299e+05 1.327722829032352081e+01
4.301204337214420415e-01 6.953991512024371186e+05 1.327641332439655031e+01
4.401232345056616535e-01 6.948591354143952485e+05 1.327563646757735505e+01
4.501260352898812100e-01 6.943481579957866343e+05 1.327490082870751031e+01
4.601288360741008221e-01 6.938682975912709953e+05 1.327420949498689851e+01
4.701316368583204341e-01 6.934216124460630817e+05 1.327356552697788672e+01
4.801344376425399907e-01 6.930101379944325890e+05 1.327297195363598803e+01
4.901372384267595472e-01 6.926358845307528973e+05 1.327243176737384545e+01
5.001400392109791593e-01 6.923008349625513656e+05 1.327194791916616623e+01
5.101428399951987158e-01 6.920069426440368406e+05 1.327152331370243310e+01
5.201456407794182724e-01 6.917561292884916766e+05 1.327116080459465408e+01
5.301484415636379399e-01 6.915502829573747003e+05 1.327086318964714273e+01
5.401512423478574965e-01 6.913912561237632763e+05 1.327063320619546616e+01
5.501540431320770530e-01 6.912808638069357257e+05 1.327047352652091305e+01
5.601568439162967206e-01 6.912208817754373886e+05 1.327038675334796380e+01
5.701596447005162771e-01 6.912130448148123687e+05 1.327037541543086796e+01
5.801624454847358336e-01 6.912590450564307394e+05 1.327044196323602421e+01
5.901652462689553902e-01 6.913605303636447061e+05 1.327058876472676019e+01
6.001680470531749467e-01 6.915191027710261988e+05 1.327081810125653050e+01
6.101708478373945033e-01 6.917363169725927291e+05 1.327113216357683889e+01
6.201736486216140598e-01 6.920136788546370808e+05 1.327153304796577515e+01
6.301764494058337274e-01 6.923526440688616131e+05 1.327202275248312091e+01
6.401792501900532839e-01 6.927546166412488092e+05 1.327260317335748141e+01
6.501820509742728404e-01 6.932209476123095956e+05 1.327327610151102988e+01
6.601848517584925080e-01 6.937529337043939158e+05 1.327404321922728769e+01
6.701876525427120646e-01 6.943518160114897182e+05 1.327490609696670454e+01
6.801904533269316211e-01 6.950187787074830849e+05 1.327586619033525750e+01
6.901932541111512887e-01 6.957549477685801685e+05 1.327692483721049932e+01
7.001960548953707342e-01 6.965613897061879979e+05 1.327808325502990527e+01
7.101988556795902907e-01 6.974391103060712339e+05 1.327934253824517796e+01
