# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
0.000000000000000000e+00 1.225836176509318640e+06 1.038627499135970487e+06 1.401913376216910834e+01 1.374064312891046669e+01
1.000280078421958256e-02 1.901016735114300856e+06 1.045975438833798864e+06 1.445789942475338563e+01 1.375509100535951212e+01
2.000560156843916512e-02 6.460476767868712777e+05 9.626852994744640309e+05 1.337862858311707903e+01 1.363657625030287157e+01
3.000840235265874942e-02 8.255272999037940754e+05 9.708332457931985846e+05 1.362377761254509423e+01 1.364594632291579934e+01
4.001120313687833024e-02 1.257702417652569013e+06 9.826226042445324128e+05 1.404479713631420346e+01 1.366257650621452413e+01
5.001400392109790760e-02 4.692390275356436614e+05 8.378309865437131375e+05 1.305886757119325736e+01 1.349720906873674764e+01
6.001680470531749884e-02 5.500663642117565032e+05 8.413890585423550801e+05 1.321779421213274830e+01 1.350006626237560248e+01
7.001960548953709007e-02 3.415108846998849185e+05 7.203431334300950402e+05 1.274113483069114672e+01 1.339048761996195225e+01
8.002240627375666049e-02 9.151547094098743983e+05 6.803054933395405533e+05 1.372684841128728905e+01 1.328641696671372330e+01
9.002520705797624478e-02 7.757306197515432723e+05 6.393978445455272449e+05 1.356156059940305880e+01 1.321481251940065071e+01
1.000280078421958152e-01 3.083089404052901082e+05 5.399519079851008719e+05 1.263885761249785844e+01 1.302950221976135481e+01
1.100308086264154134e-01 1.264974968494378030e+06 5.500409848554207711e+05 1.405056289219649734e+01 1.304880159317714927e+01
1.200336094106349977e-01 5.695115588794403011e+05 5.334668814734447515e+05 1.325253435820324555e+01 1.301219866252791313e+01
1.300364101948545681e-01 2.056336357907713391e+05 5.615857262376470026e+05 1.223385139738656058e+01 1.307082145831414621e+01
1.400392109790741801e-01 3.755431631696474506e+05 5.258770732958340086e+05 1.283612869210128338e+01 1.301984536446291330e+01
1.500420117632937367e-01 1.637971154878788802e+05 6.229534014529099222e+05 1.200638384028193961e+01 1.309854118194093608e+01
1.600448125475133210e-01 5.802188731091626687e+05 6.477056633243142860e+05 1.327116067876701244e+01 1.315608044118365783e+01
1.700476133317329053e-01 3.677512270100199385e+05 5.844558287418977125e+05 1.281516197499114362e+01 1.308348692432839044e+01
1.800504141159524896e-01 6.508181771061104955e+05 5.773888222772409208e+05 1.338598558433972485e+01 1.307014521287369213e+01
1.900532149001720739e-01 5.223595270499306498e+05 7.049619891564735444e+05 1.316611137892373762e+01 1.325716646629387974e+01
2.000560156843916304e-01 1.843570229479379719e+06 7.028707267535453429e+05 1.442721459166132192e+01 1.325141997777521397e+01
2.100588164686112147e-01 5.805838209907376440e+05 7.480941202673224034e+05 1.327178946416776029e+01 1.337828453619938607e+01
2.200616172528308268e-01 5.692267880877957214e+05 7.447577824406492291e+05 1.325203420678858635e+01 1.337234449562250482e+01
2.300644180370504110e-01 4.917744877682146616e+05 8.291092991145787528e+05 1.310577553220153213e+01 1.348682961518889378e+01
2.400672188212699953e-01 1.608938471462331712e+06 9.176172598906658823e+05 1.429108518500862068e+01 1.356998116314658986e+01
