# Solid Silica - BKS potential, melted and quenched
# 216 atoms, T~1000K, dens~2.295g/cm^3
# NVE, dt = 1.0 fs, 100 ps, print_step = 1.0 fs
# Temperature = 983.172635 K, Volume = 3130.431110818 A^3
# LAMMPS metal units
Temp c_flux1[1] c_flux1[2] c_flux1[3]
998.48171 -265.30586 1520.6107 67.461829
1003.699 -168.68352 1377.4459 101.82146
1003.8906 -93.688306 1180.375 117.20939
998.1473 -42.571972 932.96168 111.11515
986.48517 -15.323416 642.52765 85.389352
969.86291 -10.876607 319.90865 45.695167
950.03861 -27.873411 -21.428315 -0.1944876
929.29852 -64.46361 -366.51677 -44.776231
910.08762 -117.84517 -700.11875 -82.966928
894.59168 -183.8016 -1007.9293 -113.48984
884.35478 -256.7035 -1277.5386 -138.71799
880.03076 -330.23608 -1499.1208 -163.07202
881.35347 -398.28964 -1665.8519 -190.98502
887.34733 -455.86786 -1774.0283 -225.1908
896.7125 -499.61434 -1822.9796 -266.31792
908.22 -527.63698 -1814.9712 -313.5881
920.94153 -538.78022 -1754.8289 -365.96692
934.24128 -531.61522 -1649.3256 -422.92168
947.59797 -503.66609 -1506.5697 -484.43843
960.42099 -451.02997 -1335.4904 -550.73335
972.01441 -368.67527 -1145.4694 -621.89432
981.74975 -251.49621 -945.74888 -697.09405
989.35093 -95.782114 -744.63546 -774.08454
995.07418 99.459429 -548.71383 -849.32341
999.6049 331.66919 -362.34695 -919.00369
1003.6938 594.70045 -187.53052 -980.35285
1007.7297 879.05702 -24.13986 -1032.3793
1011.4717 1172.44 129.7234 -1075.3697
1014.0865 1460.6298 276.84139 -1109.7093
1014.4879 1728.75 419.80876 -1134.6995
1011.8358 1962.6551 559.74592 -1147.6891
1005.9812 2149.8856 695.58337 -1143.5339
997.68301 2279.9855 824.0547 -1114.6452
988.54493 2344.8403 940.26209 -1052.0004
980.71806 2339.1525 1038.7849 -947.24982
976.44954 2261.1595 1114.7248 -795.24782
977.54392 2113.2538 1164.6691 -596.29975
984.82538 1902.2867 1187.1457 -356.98209
997.74733 1638.7595 1182.9007 -89.364154
1014.3192 1335.4739 1154.5228 191.3616
1031.4618 1005.7396 1105.7323 469.61599
1045.7591 661.64186 1040.746 732.10547
1054.4056 312.57911 963.87354 969.26905
1056.0507 -35.464335 879.42599 1175.3446
1051.2296 -380.0001 791.8799 1347.1768
1042.2156 -720.68478 705.86735 1482.4072
1032.3343 -1057.3565 625.75658 1577.9656
1024.9591 -1387.5522 554.80924 1629.6037
1022.5087 -1705.0005 494.60177 1632.5769
1025.7716 -1999.406 444.89494 1582.885
1033.7613 -2257.7212 404.11484 1479.0984
1044.0924 -2466.0923 369.99729 1323.6609
1053.6977 -2612.1344 340.51925 1123.4482
1059.6517 -2686.7567 314.76712 888.77424
1059.8797 -2685.4492 293.45358 631.65702
1053.5786 -2608.3428 278.79007 363.95401
1041.2772 -2459.7008 273.79141 96.210907
1024.5839 -2247.1796 281.19682 -163.07261
1005.7537 -1981.2579 302.37472 -407.65012
987.21156 -1674.9777 336.63225 -633.60283
971.13103 -1343.7273 380.97277 -839.00444
959.13249 -1004.6682 430.49927 -1023.4749
952.13355 -675.72182 479.16446 -1187.5811
950.34953 -373.98934 520.7873 -1332.5547
953.40282 -113.94583 549.97795 -1459.9201
960.47586 94.307102 562.6687 -1571.3345
970.45898 246.1962 556.40939 -1668.2485
982.07203 343.07349 530.13118 -1751.5284
993.97604 391.66083 483.85792 -1821.1868
1004.9083 402.63897 418.36965 -1876.1121
1013.8504 388.53302 334.89969 -1913.6895
1020.2061 361.47768 235.08774 -1929.4758
1023.9301 331.17147 120.96679 -1917.0182
1025.5397 303.6869 -4.8248537 -1868.2513
1025.9648 281.29878 -138.92781 -1774.3404
1026.2532 263.32382 -277.09835 -1627.1452
1027.2208 247.87129 -414.34643 -1420.9496
1029.1738 233.79883 -545.48828 -1154.336
1031.8195 222.62769 -665.88061 -831.70491
1034.4034 219.24938 -772.11216 -464.21592
1035.994 231.23655 -862.35629 -69.775003
1035.7622 266.86638 -936.12978 328.44572
1033.1079 332.38828 -993.41635 704.91126
1027.5987 429.47218 -1033.7397 1035.4972
1018.808 553.6412 -1055.5731 1300.8985
