Temp	s_xy	_xz	s_yz 
   408.14857    788.37874    14.137608   -171.66794 
   404.83967    636.10743   -89.647884   -178.72951 
   400.74475    478.48531   -201.87593   -164.36904 
   396.17366    315.04217   -321.41287    -129.1324 
   391.42236    147.65055    -443.0961   -77.596868 
   386.75936   -20.395892   -562.87046   -14.148054 
   382.41874   -182.11254   -674.13173    52.480957 
   378.59478   -329.26774   -775.43734    119.91508 
   375.43506   -452.38363   -863.27425    183.85673 
   373.03378   -540.92163   -937.00809    244.79482 
   371.42919   -587.65806   -996.70091     304.4373 
   370.60719   -586.42068   -1043.9809    367.59317 
   370.51411   -536.15257    -1081.636    441.40649 
   371.07355   -440.27419   -1113.4017    529.64799 
   372.20479   -305.05355    -1144.662    634.93301 
   373.83576   -143.92044   -1182.0977    757.97793 
   375.90771    26.307382   -1232.8221    897.48497 
   378.37077    187.97258   -1300.0296    1052.6248 
   381.17279    325.75479    -1384.228    1222.8787 
    384.2456    427.69494   -1479.7275    1409.7926 
   387.49376     486.5846   -1574.3907    1612.9927 
    390.7885    502.33601   -1651.9855    1836.0373 
   393.97064    477.60104    -1694.165    2077.7335 
   396.86153    417.55337   -1685.8417    2336.7676 
   399.28016    327.68997   -1617.9793    2603.0876 
   401.06166    214.86439   -1487.3188    2866.3769 
    402.0751    83.610431   -1296.2318    3107.7356 
   402.23667   -59.201006   -1055.5265    3309.4308 
    401.5186   -206.79294   -775.78374    3454.2635 
   399.95282   -349.90682   -474.72009    3531.7233 
   397.63025   -476.06001   -169.30065    3538.2864 
   394.69685   -571.24154    123.86002    3479.9467 
   391.34723   -623.52025    385.76886     3373.867 
   387.81559   -622.34374    601.32213    3244.7459 
   384.36409    -564.2865    757.01418    3117.4327 
   381.26658   -451.60396    846.00493    3015.2447 
   378.78534   -292.54888    864.81128    2951.0117 
   377.14362   -97.851064    820.79567    2929.9498 
   376.49808    118.09012    724.10123    2946.4597 
   376.91587    339.71824    590.92634    2989.7388 
   378.36147    551.62153    441.96222    3047.5115 
   380.69503    744.36436    293.65432    3105.1234 
   383.68497    906.51774     163.2956    3151.4821 
   387.03188    1028.9287    62.171286    3177.5822 
   390.40296    1105.1593  -0.15190842    3178.5418 
   393.47166    1133.0119   -21.979522    3149.7913 
   395.95565    1113.6037   -2.1033283    3090.2784 
   397.64564     1052.947    57.885502     2999.561 
   398.41915    958.94893    155.20454     2880.733 
   398.23963    843.77672    284.15597    2734.3824 
   397.14749    718.70243    438.92326    2563.5302 
   395.24325    594.57038     611.8789    2372.2831 
   392.67212    479.31253    793.68833    2161.6632 
   389.61083    377.86409    972.78838    1934.3383 
    386.2574     292.3335    1138.5575    1691.0884 
   382.82029    222.74399    1279.0118    1433.7697 
   379.50625    167.11044    1385.0944    1163.6135 
   376.50582    122.84778    1448.7046    881.34755 
   373.97588    84.643619    1466.2828    588.43415 
   372.02577    47.380556    1439.0411    287.37047 
   370.70715    4.5398325    1372.2149   -19.438538 
   370.01168    -48.48995    1274.5513   -327.35606 
   369.87722   -115.62641    1159.9401   -629.98281 
    370.2008   -199.01517     1043.602   -919.24092 
   370.85357   -294.43224    942.80463   -1183.6551 
   371.69273   -399.32431     870.7938   -1414.7967 
   372.57156   -505.54059    839.26001   -1604.4964 
   373.34497   -604.28417    853.31074    -1748.759 
   373.87287   -687.19501    911.02299   -1846.3842 
    374.0248   -744.54191    1004.5333   -1902.3048 
   373.68934   -767.66114    1123.6199   -1923.4051 
   372.78711   -748.97939    1250.2712   -1920.9831 
   371.28895   -681.07477     1372.128   -1906.3179 
   369.23494   -560.87771    1476.7321   -1886.5879 
   366.74726   -389.87363    1557.8636   -1871.1979 
   364.03226   -174.36205    1615.8403   -1864.2687 
   361.36641    71.842939    1651.9891   -1868.6922 
    359.0648    333.46799     1668.985   -1887.4405 
   357.43595    589.23588    1668.5001   -1923.3221 
   356.73383    821.39986    1648.6246   -1978.7477 
   357.11578    1012.9091      1604.04   -2059.3044 
    358.6159    1152.6645    1525.0634   -2166.0003 
    361.1414    1230.9032    1404.5052   -2298.9638 
    364.4903    1243.9411    1236.8792   -2456.2002 
   368.38715      1189.59    1020.3338   -2632.1594 
   372.52563    1070.1596    761.42072    -2816.387 
   376.60929    891.13641    470.19834   -2998.3701 
   380.38291    664.55098    164.16488   -3163.0469 
   383.65107    403.73866   -138.63465   -3296.4228 
   386.28363    124.85103   -418.98935    -3386.368 
   388.21281   -155.27785   -661.67257   -3423.9715 
   389.42642   -422.83732   -857.69099   -3403.2223 
