# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
1.431385187715033425e+01 2.125169406409748232e-02 2.805048808939913485e+01 2.125169406409748232e-02 1.978368642732943117e+05 4.204368514136427621e+03
6.583838127453796041e-01 1.502721698442523006e-02 1.505340383773955892e+01 3.680901386592676239e-02 4.484822388914240787e-01 1.650818894997630945e-02
-6.480499649148076247e-03 1.502721698442523006e-02 1.504044283844126362e+01 4.752023256435074922e-02 4.427069683938338884e-01 2.103753809593366178e-02
5.915689707001339781e-02 1.502721698442523006e-02 1.515875663258129080e+01 5.622669743242949408e-02 4.983097513954480307e-01 2.801831161934101658e-02
-9.261613519364572319e-03 1.502721698442523006e-02 1.514023340554256158e+01 6.375508219229245044e-02 4.891644088495652465e-01 3.118671709174818465e-02
1.888140830937012210e-02 1.502721698442523006e-02 1.517799622216130118e+01 7.048389537003441063e-02 5.079898484448331919e-01 3.580510332682526609e-02
1.569786942487456666e-03 1.502721698442523006e-02 1.518113579604627539e+01 7.662407263857717865e-02 5.095872263376984845e-01 3.904664864659088824e-02
8.122945408770097103e-03 1.502721698442523006e-02 1.519738168686381563e+01 8.230745718894456886e-02 5.179335378428737702e-01 4.262979249272093318e-02
9.231142095055513280e-03 1.502721698442523006e-02 1.521584397105392661e+01 8.762297934958578061e-02 5.275845901116633652e-01 4.622853364451395830e-02
-1.542526524808211438e-03 1.502721698442523006e-02 1.521275891800430990e+01 9.263398680444412392e-02 5.259594717401315789e-01 4.872172276484775660e-02
-1.712563754997059942e-02 1.502721698442523006e-02 1.517850764290436949e+01 9.738749669477042570e-02 5.082497114345937428e-01 4.949716709245452484e-02
4.414677473478199887e-03 1.502721698442523006e-02 1.518733699785132529e+01 1.019195443163965209e-01 5.127570979140791962e-01 5.225996976440086539e-02
-2.452988475866084081e-03 1.502721698442523006e-02 1.518243102089959251e+01 1.062584703204874220e-01 5.102476840064452679e-01 5.421813838709629851e-02
9.008913457056073881e-03 1.502721698442523006e-02 1.520044884781370520e+01 1.104270415977802872e-01 5.195245620811972387e-01 5.736956042800895467e-02
9.057401694274758858e-03 1.502721698442523006e-02 1.521856365120225441e+01 1.144438749659670157e-01 5.290214043999665883e-01 6.054325945947006127e-02
2.431022275378671819e-03 1.502721698442523006e-02 1.522342569575301141e+01 1.183244248598482873e-01 5.315997930774615243e-01 6.290123977150499646e-02
1.019178236802527858e-02 1.502721698442523006e-02 1.524380926048906204e+01 1.220816878962683594e-01 5.425468832024592514e-01 6.623503926421579757e-02
2.513128623012642060e-02 1.502721698442523006e-02 1.529407183294931549e+01 1.257267176092252414e-01 5.705136382441362564e-01 7.172880708773221592e-02
8.085275184407554605e-03 1.502721698442523006e-02 1.531024238331812981e+01 1.292690083584532856e-01 5.798141523206126191e-01 7.495200050268278902e-02
-4.027833598302475726e-02 1.502721698442523006e-02 1.522968571135208116e+01 1.327167868928639249e-01 5.349380539555909087e-01 7.099525970770749483e-02
-1.681013559098645718e-03 1.502721698442523006e-02 1.522632368423388449e+01 1.360772373483304098e-01 5.331425975893371305e-01 7.254857179266963052e-02
2.636925596412456260e-02 1.502721698442523006e-02 1.527906219616213335e+01 1.393566773625929955e-01 5.620143807016044768e-01 7.832045672457099705e-02
-1.820531091438780044e-02 1.502721698442523006e-02 1.524265157433335816e+01 1.425606976930522407e-01 5.419191476174630706e-01 7.725637177756970730e-02
1.131961904881998056e-02 1.502721698442523006e-02 1.526529081243099739e+01 1.456942741768454674e-01 5.543277144991064498e-01 8.076237402005692623e-02
1.794927858920843458e-02 1.502721698442523006e-02 1.530118936960941411e+01 1.487618584486823936e-01 5.745887752442946361e-01 8.547689404909353250e-02
-1.533923847676064815e-02 1.502721698442523006e-02 1.527051089265589212e+01 1.517674521440411095e-01 5.572289153021884323e-01 8.456921273640082004e-02
9.609480091059009396e-03 1.502721698442523006e-02 1.528972985283800945e+01 1.547146681200001761e-01 5.680418494858072709e-01 8.788440622146777292e-02
1.069465103574626479e-02 1.502721698442523006e-02 1.531111915490950182e+01 1.576067813663796502e-01 5.803227398225990763e-01 9.146279917715879892e-02
2.415026234730361255e-03 1.502721698442523006e-02 1.531594920737896182e+01 1.604467716529621724e-01 5.831325093096686452e-01 9.356172856462724452e-02
1.004104524330245475e-02 1.502721698442523006e-02 1.533603129786556707e+01 1.632373594954469320e-01 5.949614060776025060e-01 9.711992892980619851e-02
