# freqs_THz  cepf_psd cepf_logpsd
# 
0.000000000000000000e+00 6.824108702608001418e+06 1.515875663258128370e+01
1.000400160064025476e-02 6.824070228713607416e+06 1.546560381406852613e+01
2.000800320128050952e-02 6.823954809186537750e+06 1.546558690033533168e+01
3.001200480192076775e-02 6.823762450494899414e+06 1.546555871119747039e+01
4.001600640256101904e-02 6.823493163417969830e+06 1.546551924728112226e+01
5.002000800320128421e-02 6.823146963045027107e+06 1.546546850946290519e+01
6.002400960384153550e-02 6.822723868773536757e+06 1.546540649886983232e+01
7.002801120448179373e-02 6.822223904306923971e+06 1.546533321687929075e+01
8.003201280512203808e-02 6.821647097651784308e+06 1.546524866511895624e+01
9.003601440576231019e-02 6.820993481114584021e+06 1.546515284546675417e+01
1.000400160064025684e-01 6.820263091297997162e+06 1.546504576005077070e+01
1.100440176070428266e-01 6.819455969096522778e+06 1.546492741124918169e+01
1.200480192076830710e-01 6.818572159691865556e+06 1.546479780169015328e+01
1.300520208083233431e-01 6.817611712547454052e+06 1.546465693425172461e+01
1.400560224089635875e-01 6.816574681402930059e+06 1.546450481206172967e+01
1.500600240096038596e-01 6.815461124267752282e+06 1.546434143849764453e+01
1.600640256102440762e-01 6.814271103414390236e+06 1.546416681718645592e+01
1.700680272108843483e-01 6.813004685371203348e+06 1.546398095200452616e+01
1.800720288115246204e-01 6.811661940914725885e+06 1.546378384707746179e+01
1.900760304121648647e-01 6.810242945061294362e+06 1.546357550677991455e+01
2.000800320128051368e-01 6.808747777058415115e+06 1.546335593573542155e+01
2.100840336134453534e-01 6.807176520375586115e+06 1.546312513881624540e+01
2.200880352140856533e-01 6.805529262694552541e+06 1.546288312114315033e+01
2.300920368147259254e-01 6.803806095899225213e+06 1.546262988808523176e+01
2.400960384153661420e-01 6.802007116064821370e+06 1.546236544525967460e+01
2.501000400160063863e-01 6.800132423447001725e+06 1.546208979853156507e+01
2.601040416166466862e-01 6.798182122470068745e+06 1.546180295401363125e+01
2.701080432172869306e-01 6.796156321714927442e+06 1.546150491806602645e+01
2.801120448179271749e-01 6.794055133906543255e+06 1.546119569729606624e+01
2.901160464185674193e-01 6.791878675900858827e+06 1.546087529855796205e+01
3.001200480192077191e-01 6.789627068671397865e+06 1.546054372895258311e+01
3.101240496198479635e-01 6.787300437295180745e+06 1.546020099582714380e+01
3.201280512204881523e-01 6.784898910938343965e+06 1.545984710677493013e+01
3.301320528211284522e-01 6.782422622841260396e+06 1.545948206963500482e+01
3.401360544217686965e-01 6.779871710303187370e+06 1.545910589249189115e+01
3.501400560224089409e-01 6.777246314666418359e+06 1.545871858367526031e+01
3.601440576230492407e-01 6.774546581300102174e+06 1.545832015175960805e+01
3.701480592236894851e-01 6.771772659583492205e+06 1.545791060556391372e+01
3.801520608243297294e-01 6.768924702888783067e+06 1.545748995415129201e+01
3.901560624249699738e-01 6.766002868563571014e+06 1.545705820682864484e+01
4.001600640256102737e-01 6.763007317912777886e+06 1.545661537314628831e+01
4.101640656262505180e-01 6.759938216180194169e+06 1.545616146289758674e+01
4.201680672268907069e-01 6.756795732529597357e+06 1.545569648611856195e+01
4.301720688275310067e-01 6.753580040025392547e+06 1.545522045308749526e+01
4.401760704281713066e-01 6.750291315612944774e+06 1.545473337432454386e+01
4.501800720288114954e-01 6.746929740098200738e+06 1.545423526059130026e+01
