# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
0.000000000000000000e+00 5.436172196888006292e+06 8.162270935992990620e+06 1.550858573088317804e+01 1.580038476174543227e+01
1.000000000000000021e-02 9.272424269118765369e+06 8.886942530247727409e+06 1.604255542105653376e+01 1.592548527333421760e+01
2.000000000000000042e-02 7.154303900928966701e+06 8.521203508380133659e+06 1.578322467776032845e+01 1.588954365611904151e+01
3.000000000000000583e-02 1.073445230153135583e+07 8.340546666385876946e+06 1.618896896810816344e+01 1.587093259523163269e+01
4.000000000000000083e-02 1.231968856420410797e+07 8.219167400171291083e+06 1.632670923687059528e+01 1.585215413934228934e+01
5.000000000000000278e-02 2.693535013734248932e+06 7.583097813435038552e+06 1.480636502036267466e+01 1.572444729719752488e+01
6.000000000000001166e-02 1.066492255053634197e+07 7.670369956615051255e+06 1.618247064783930966e+01 1.573923125535844747e+01
6.999999999999999278e-02 8.296559323660586961e+06 8.730083771843295544e+06 1.593135144750364951e+01 1.581324071832008471e+01
8.000000000000000167e-02 8.747227039594516158e+06 8.657137176475023851e+06 1.598424729834666103e+01 1.580242603645183763e+01
9.000000000000001055e-02 5.819131972568530589e+06 8.194193389895494096e+06 1.557666166297752675e+01 1.574395264775759173e+01
1.000000000000000056e-01 2.275658815019976813e+06 7.249908541830787435e+06 1.463778015746415129e+01 1.557555668453639797e+01
1.100000000000000006e-01 6.396165771868159063e+06 8.033042892861449160e+06 1.567120927065329816e+01 1.570598005871940472e+01
1.200000000000000233e-01 2.092927623662945628e+07 7.243024074525965378e+06 1.685665951363456827e+01 1.555265862891982209e+01
1.300000000000000044e-01 6.351891351877967827e+06 7.099865055390005931e+06 1.566426317720960704e+01 1.553352377353821900e+01
1.399999999999999856e-01 5.642070649156534113e+06 6.630409748260398395e+06 1.554576169247144612e+01 1.545238965749065940e+01
1.500000000000000222e-01 1.932555235492330510e+06 6.553090668689267710e+06 1.447435364143748515e+01 1.543802524409513488e+01
1.600000000000000033e-01 1.130801287507153489e+07 6.521624753592399880e+06 1.624102213637575787e+01 1.542302604349321982e+01
1.700000000000000122e-01 1.974715548846027115e+06 6.279146606394333765e+06 1.449593492004388828e+01 1.537397297270294416e+01
1.800000000000000211e-01 6.721810113165035844e+06 6.146087380680447444e+06 1.572086803830601198e+01 1.536738216553393599e+01
1.900000000000000022e-01 3.583218661168823950e+06 5.906553781093860045e+06 1.509177202182349475e+01 1.531867035874070559e+01
2.000000000000000111e-01 4.968622097286095843e+06 7.196529901325555518e+06 1.541865311562676588e+01 1.543294635668879522e+01
2.100000000000000477e-01 1.929533748954429291e+06 8.366841661119120196e+06 1.447278895084308559e+01 1.561805439123156702e+01
2.200000000000000011e-01 3.728906152689431328e+06 9.000548127479882911e+06 1.513162549196023043e+01 1.566171161531246803e+01
2.300000000000000100e-01 1.946562475377671048e+07 9.500277430440438911e+06 1.678416063477551390e+01 1.578268463877799732e+01
2.400000000000000466e-01 3.717021756425501779e+06 1.020368129089625180e+07 1.512843330248407803e+01 1.585231891569893570e+01
2.500000000000000000e-01 1.983180797170518339e+07 1.006140403464856185e+07 1.680279766990044621e+01 1.580013065413352358e+01
2.600000000000000089e-01 1.480598459322154708e+07 9.678569947714067996e+06 1.651054202140795013e+01 1.562913573753850471e+01
2.700000000000000178e-01 1.827878400503993034e+07 9.646953039176473394e+06 1.672125160126565291e+01 1.561106773907276235e+01
2.799999999999999711e-01 7.471737881412154064e+06 9.685636650040941313e+06 1.582663817816470164e+01 1.562089131245408247e+01
2.899999999999999800e-01 1.445925257817894593e+07 8.408773631450599059e+06 1.648684508443635721e+01 1.550466131331146435e+01
3.000000000000000444e-01 2.018168842444242211e+06 8.610254769431525841e+06 1.451770114460394900e+01 1.554717587802911005e+01
3.100000000000000533e-01 7.574471410066582030e+05 8.055030317854855210e+06 1.353770903308156903e+01 1.551371076114966385e+01
3.200000000000000067e-01 1.581747755040885648e+06 7.380041403242916800e+06 1.427404096771992137e+01 1.545042822483885558e+01
3.300000000000000155e-01 4.154425872198565863e+06 6.638581391291287728e+06 1.523968479915474639e+01 1.539670474682150569e+01
3.400000000000000244e-01 5.420131549282984808e+06 6.365098574046993628e+06 1.550563064420671289e+01 1.534986740247299331e+01
3.499999999999999778e-01 5.933314274215677753e+06 5.228115749622781761e+06 1.559609351437820379e+01 1.516784432239074221e+01
3.600000000000000422e-01 1.372433900436181389e+07 5.092756532724924386e+06 1.643468138422650071e+01 1.504615828173497505e+01
3.699999999999999956e-01 7.381106532490223646e+06 5.190922514689506963e+06 1.581443412198907161e+01 1.512671136361757185e+01
3.800000000000000044e-01 1.012272387357201427e+07 5.712996967785501853e+06 1.613029334307481122e+01 1.526604805408593357e+01
3.900000000000000688e-01 4.463426891724919900e+06 5.894972740677146241e+06 1.531142739033106892e+01 1.530180067805556021e+01
4.000000000000000222e-01 1.952441509512617020e+06 5.681327733534707688e+06 1.448459120353157736e+01 1.525012516487357850e+01
4.100000000000000311e-01 5.292174565678028157e+05 5.391055113817903213e+06 1.317915469739053336e+01 1.517989699103464751e+01
4.200000000000000955e-01 1.837272942617070163e+06 4.882141900086410344e+06 1.442379293379012317e+01 1.513225463723002662e+01
4.299999999999999933e-01 7.324566739096835256e+06 4.977322528839061037e+06 1.580674456287191276e+01 1.514431345720725730e+01
4.400000000000000022e-01 6.156159374006650411e+06 4.527076007770800963e+06 1.563296366282064298e+01 1.508323093465469178e+01
4.500000000000000666e-01 3.070036470716147218e+06 4.499954428381969221e+06 1.493719999920491759e+01 1.507694192884066453e+01
4.600000000000000200e-01 2.740315457330830395e+06 4.802134344185855240e+06 1.482358360214996829e+01 1.516732077451705329e+01
4.700000000000000289e-01 8.126293653315401636e+06 4.961912341719340533e+06 1.591061549237568506e+01 1.530036609964483851e+01
4.800000000000000933e-01 8.428093448769383132e+06 6.442050011477855034e+06 1.594708114173859848e+01 1.550842673574033981e+01
4.899999999999999911e-01 5.170012141821154393e+06 6.986593720437673852e+06 1.545838559499658338e+01 1.556275612050220936e+01
5.000000000000000000e-01 4.165089518447767012e+06 6.545869038965332322e+06 1.524224832637678162e+01 1.542195519098710754e+01
5.100000000000000089e-01 5.276420583355364390e+06 7.237160851216087118e+06 1.547875850597183955e+01 1.553524105653685439e+01
5.200000000000000178e-01 2.286775429436141625e+06 7.690293577844256535e+06 1.464265327379618853e+01 1.562945557565008947e+01
5.300000000000000266e-01 1.811878730996072665e+07 8.433098897298168391e+06 1.671245993084064096e+01 1.569271788878418405e+01
5.400000000000000355e-01 1.331454753765483946e+07 8.244239983972601593e+06 1.640436779525247601e+01 1.566698933079375955e+01
5.500000000000000444e-01 1.308187877810894977e+06 7.838194815668891184e+06 1.408415343815451060e+01 1.548566744853674315e+01
5.599999999999999423e-01 1.067424640547444299e+07 7.850836498474030755e+06 1.618334452025211689e+01 1.548865303465322008e+01
5.699999999999999512e-01 7.724775450240692124e+06 7.988894838151710108e+06 1.585994331239559507e+01 1.551164833201459281e+01
5.799999999999999600e-01 1.629715216730844788e+07 8.187573174581667408e+06 1.660650093685072193e+01 1.557262524511860136e+01
5.900000000000000799e-01 6.350645402188144624e+06 6.849044741576923057e+06 1.566406700384393424e+01 1.542038405338019125e+01
6.000000000000000888e-01 7.035152904803333804e+05 6.422453114360477775e+06 1.346384489016937103e+01 1.538088082032265902e+01
6.100000000000000977e-01 4.304148029304300435e+06 6.791975392574494705e+06 1.527508977365803666e+01 1.550931091579665200e+01
6.200000000000001066e-01 6.795062319809840992e+06 6.353320719222053885e+06 1.573170677694693431e+01 1.545462404648088217e+01
6.300000000000000044e-01 4.472237130165668204e+06 6.969556785959665664e+06 1.531339931794026477e+01 1.551189208578947643e+01
6.400000000000000133e-01 3.394974546908533201e+06 5.579283423940109089e+06 1.503780682171812089e+01 1.525854174384358508e+01
6.500000000000001332e-01 8.622039638273959979e+06 5.673582591327081434e+06 1.596983223161963217e+01 1.527229556081405804e+01
6.600000000000000311e-01 5.372932938165081665e+06 6.479326672192404047e+06 1.549688448836842625e+01 1.550956410672514885e+01
6.700000000000000400e-01 5.849044998597589321e+06 6.230405101738789119e+06 1.558178895777864170e+01 1.541765067483693485e+01
6.800000000000000488e-01 1.450337218435442261e+07 6.225151935753261670e+06 1.648989174479012121e+01 1.541687428317268349e+01
6.900000000000000577e-01 1.004145185093326494e+06 6.925132759418836795e+06 1.381964717544593491e+01 1.550789715805959013e+01
6.999999999999999556e-01 7.387936243444828317e+06 7.301559247419985943e+06 1.581535899051915095e+01 1.558038360720989957e+01
7.099999999999999645e-01 9.566700179998887703e+06 7.116579646269582212e+06 1.607379889519137706e+01 1.555591237248559722e+01
7.200000000000000844e-01 1.566010754314539023e+06 7.331673922782596201e+06 1.426404202288768275e+01 1.558908461528539036e+01
7.299999999999999822e-01 6.737277493969042785e+06 6.961600563392881304e+06 1.572316646864017997e+01 1.548084321638243921e+01
7.399999999999999911e-01 1.217202619048698619e+07 5.814229248229788616e+06 1.631465094169623953e+01 1.529521655467983265e+01
7.500000000000000000e-01 7.535665914921171963e+06 5.999997267451742664e+06 1.583515776237151584e+01 1.539614524662139061e+01
7.600000000000000089e-01 6.587264025619523600e+06 5.907273735526668839e+06 1.570064864965231521e+01 1.538263919805520175e+01
7.700000000000000178e-01 7.738969979808236472e+06 6.493659716944996268e+06 1.586177915916615255e+01 1.542949001151085042e+01
7.800000000000001377e-01 1.778238045310724061e+06 7.364627789658783935e+06 1.439113356984617020e+01 1.560790895665099853e+01
7.900000000000001465e-01 1.882287717560403747e+06 7.633174470153607428e+06 1.444799846606142246e+01 1.564096093250210551e+01
8.000000000000000444e-01 3.047593396534821019e+06 7.289585959370698780e+06 1.492986278680309020e+01 1.560716132616301621e+01
8.099999999999999423e-01 6.367977392269019037e+06 7.117578719322159886e+06 1.566679245629104322e+01 1.558087701009754156e+01
8.200000000000000622e-01 1.601694597560048476e+07 7.847288673214294948e+06 1.658915784320352316e+01 1.565331763849331281e+01
8.299999999999999600e-01 1.114665955416620150e+07 7.247465576677824371e+06 1.622665041942928710e+01 1.547927789080081773e+01
8.400000000000001910e-01 9.691290979412104934e+06 7.470429402555494569e+06 1.608673820300239043e+01 1.555807585204994403e+01
8.500000000000000888e-01 8.392552571874989197e+06 7.551965846843915991e+06 1.594285527196624486e+01 1.559350049825015638e+01
8.599999999999999867e-01 5.643586274387239479e+06 8.181591403991107829e+06 1.554603028565128220e+01 1.570128020665315738e+01
8.700000000000001066e-01 1.461407351843301021e+07 8.624963234104521573e+06 1.649749556200581324e+01 1.575297545136457700e+01
8.800000000000000044e-01 1.140915917907059193e+06 7.422604696556540206e+06 1.394734193454871374e+01 1.559413485212122730e+01
8.899999999999999023e-01 4.230840129965109751e+06 7.249192032626302913e+06 1.525791114358654710e+01 1.557707183473193879e+01
9.000000000000001332e-01 2.779188604733027983e+06 6.600385137396959588e+06 1.483766957426376187e+01 1.545585325666061749e+01
9.100000000000000311e-01 9.973474525153929368e+06 6.066377527931976132e+06 1.611543957923611714e+01 1.534642656672459538e+01
9.200000000000000400e-01 1.124506752351659164e+07 5.600710858929264359e+06 1.623544014811666969e+01 1.512987750849186952e+01
9.300000000000000488e-01 2.791002062572672032e+06 5.414426047396102920e+06 1.484191125152666757e+01 1.511614345747863197e+01
9.400000000000000577e-01 9.239120250933595002e+06 5.588586162643311545e+06 1.603895722814709401e+01 1.520573409950837096e+01
9.499999999999999556e-01 2.554415131889336277e+06 5.852516487008588389e+06 1.475333384421786320e+01 1.525323244785278654e+01
9.600000000000001865e-01 2.518468867760166992e+06 6.464113148790527135e+06 1.473916168267002469e+01 1.536503638008266037e+01
9.700000000000000844e-01 5.212529153574024094e+05 6.446073736520837992e+06 1.316399064509131023e+01 1.536320940535178181e+01
9.799999999999999822e-01 1.256494059156823903e+07 5.579243922250205651e+06 1.634642100086017180e+01 1.519198471794567062e+01
9.899999999999999911e-01 3.056677185626347549e+06 5.956480501062497497e+06 1.493283899687585148e+01 1.527480182437775547e+01
1.000000000000000000e+00 7.134073697983157821e+06 5.222715877600792795e+06 1.578039297537511132e+01 1.508676522217577443e+01
1.010000000000000009e+00 9.506751884334357455e+06 5.080433131493557245e+06 1.606751282879237408e+01 1.500053104354442013e+01
1.020000000000000018e+00 9.775040990187350661e+06 5.100999056814707816e+06 1.609534285719646007e+01 1.500835090586245180e+01
1.030000000000000027e+00 1.709939566539639141e+06 5.498916397762893699e+06 1.435196858664943775e+01 1.521202518163109652e+01
1.040000000000000036e+00 6.940604429507878609e+06 4.712235286160808988e+06 1.575289942227959195e+01 1.510593402600129842e+01
1.050000000000000044e+00 1.167709392854840495e+06 4.630599468422414735e+06 1.397055460392529724e+01 1.507431311353368031e+01
1.060000000000000053e+00 9.893049247097470798e+05 4.425146923621245660e+06 1.380475787927299436e+01 1.503968149293887002e+01
1.070000000000000284e+00 2.744694046292831190e+06 4.379859473703875206e+06 1.482518016816838546e+01 1.503478842826357464e+01
1.080000000000000071e+00 4.898343665787439793e+06 3.552312505028782878e+06 1.540440767854640036e+01 1.479139815318136186e+01
1.090000000000000080e+00 3.911448363945316523e+06 4.118010072017220780e+06 1.517941828893239986e+01 1.493090037464501485e+01
1.100000000000000089e+00 2.158683190504008904e+06 4.138714155451574828e+06 1.458500895973204514e+01 1.493383551530276421e+01
1.110000000000000098e+00 4.874095705170285888e+06 4.646452621230172925e+06 1.539944514883217863e+01 1.509337351557227791e+01
1.119999999999999885e+00 9.008589935243282467e+06 5.558064457699972205e+06 1.601368911736412315e+01 1.531248218842485009e+01
1.130000000000000115e+00 6.720243347613326041e+05 7.188793990762131289e+06 1.341804983129209106e+01 1.549608481625497092e+01
1.139999999999999902e+00 7.932612803412450477e+06 6.931262294859977439e+06 1.588649302274965436e+01 1.541758234278296058e+01
1.149999999999999911e+00 7.168349347285785712e+06 7.472201114752590656e+06 1.578518596951483133e+01 1.550165129555946919e+01
1.159999999999999920e+00 6.752832516419421881e+06 7.484081931856909767e+06 1.572547260688993909e+01 1.550699486105184555e+01
1.169999999999999929e+00 1.101703512587753125e+07 7.791559875878049992e+06 1.621495328065128660e+01 1.555490835055807963e+01
1.180000000000000160e+00 2.068271890997658297e+07 7.363900885008368641e+06 1.684480907429973584e+01 1.548776703212483596e+01
1.190000000000000169e+00 2.065495010863750475e+06 8.145850996097439900e+06 1.454088047035428666e+01 1.572636875587009442e+01
