# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
0.000000000000000000e+00 5.445595725087298080e+06 8.177893676361666061e+06 1.551031771609413923e+01 1.580240022897017127e+01
1.000400160064025476e-02 9.297151343266654760e+06 8.904744577323112637e+06 1.604521860402623190e+01 1.592741340366548108e+01
2.000800320128050952e-02 7.149754874701620080e+06 8.526509951359145343e+06 1.578258863082399088e+01 1.589016921996784326e+01
3.001200480192076775e-02 1.072612617362224683e+07 8.339404312633059919e+06 1.618819302179930730e+01 1.587080117302743787e+01
4.001600640256101904e-02 1.237747439085255191e+07 8.216215265164213255e+06 1.633138879720749870e+01 1.585169766215185838e+01
5.002000800320128421e-02 2.705110575002444908e+06 7.577265243167298846e+06 1.481065334743183648e+01 1.572347033666013516e+01
6.002400960384153550e-02 1.070047048557834327e+07 7.663650353489322588e+06 1.618579826908025510e+01 1.573809209670422504e+01
7.002801120448179373e-02 8.216893505248929374e+06 8.727722742293540388e+06 1.592170277653348087e+01 1.581217456317476433e+01
8.003201280512203808e-02 8.667964147635297850e+06 8.656121323824051768e+06 1.597514450545485509e+01 1.580156425511876961e+01
9.003601440576231019e-02 5.794675352544303052e+06 8.200779761717801914e+06 1.557245001119261829e+01 1.574436664321291524e+01
1.000400160064025684e-01 2.268701101300598588e+06 7.248478104243913665e+06 1.463471802361728358e+01 1.557410389992601196e+01
1.100440176070428266e-01 6.395831938629552722e+06 8.056481897029398009e+06 1.567115707657912260e+01 1.570640133765297008e+01
1.200480192076830710e-01 2.100194762011305243e+07 7.257325897671202198e+06 1.686012573520216407e+01 1.554973651808888846e+01
1.300520208083233431e-01 6.362139271537257358e+06 7.098899738451406360e+06 1.566587524220805605e+01 1.552806685608812920e+01
1.400560224089635875e-01 5.717368990453484468e+06 6.641351359912456013e+06 1.555901929083491098e+01 1.544906289716289294e+01
1.500600240096038596e-01 1.902156158639778616e+06 6.570286855263874866e+06 1.445849862105152894e+01 1.543588910289460969e+01
1.600640256102440762e-01 1.159315229564277083e+07 6.531559098977371119e+06 1.626592516242838826e+01 1.541698202405384066e+01
1.700680272108843483e-01 1.909754492638194934e+06 6.288026677360266447e+06 1.446248525387534833e+01 1.536764236294117048e+01
1.800720288115246204e-01 6.474205753831189126e+06 6.124837295661642216e+06 1.568333649452511835e+01 1.535951986838203176e+01
1.900760304121648647e-01 3.634931983706840780e+06 5.891575433848662302e+06 1.510610095727726510e+01 1.531257908374514543e+01
2.000800320128051368e-01 5.012965801409912296e+06 7.151964696453054436e+06 1.542753827424150259e+01 1.542449583058499307e+01
2.100840336134453534e-01 1.842695782149058534e+06 8.333577963496437296e+06 1.442674015636882601e+01 1.561162006504973654e+01
2.200880352140856533e-01 3.716975300841397606e+06 8.967174622296284884e+06 1.512842080433974346e+01 1.565441464902658986e+01
2.300920368147259254e-01 1.920686442142818868e+07 9.506490568093936890e+06 1.677077829505165241e+01 1.578282815116956606e+01
2.400960384153661420e-01 3.796258791594473179e+06 1.028571586750465818e+07 1.514952661120229749e+01 1.585948862746446864e+01
2.501000400160063863e-01 1.958165087910180166e+07 1.011963737031535059e+07 1.679010350607323332e+01 1.579600396902772985e+01
2.601040416166466862e-01 1.489990209611698985e+07 9.731229245078407228e+06 1.651686520016369641e+01 1.562214131445763954e+01
2.701080432172869306e-01 1.856271554244107753e+07 9.705113506993845105e+06 1.673666558617377476e+01 1.560673383440647655e+01
2.801120448179271749e-01 7.842229896412362345e+06 9.737955245547845960e+06 1.587503377744810962e+01 1.561516600798790044e+01
2.901160464185674193e-01 1.504568404734911770e+07 8.480549054004792124e+06 1.652660173376904140e+01 1.549939915045426275e+01
3.001200480192077191e-01 1.808068514624480624e+06 8.667251717481300235e+06 1.440776971447315447e+01 1.553871038427955398e+01
3.101240496198479635e-01 7.404764238035478629e+05 8.095202460248021409e+06 1.351504907397051447e+01 1.550346964638927183e+01
3.201280512204881523e-01 1.555422663218859816e+06 7.397373995186882094e+06 1.425725787580602066e+01 1.543765373389715023e+01
3.301320528211284522e-01 4.078234424935413525e+06 6.673340442828197032e+06 1.522117471373539033e+01 1.538670309453473273e+01
3.401360544217686965e-01 5.375396314454589039e+06 6.363482349989096634e+06 1.549734286218164669e+01 1.533486052423280910e+01
3.501400560224089409e-01 5.849988089836048894e+06 5.194428821471216157e+06 1.558195018328050452e+01 1.515949923134716570e+01
3.601440576230492407e-01 1.328910904953573644e+07 5.081304880042014644e+06 1.640245538928010660e+01 1.505354622329391390e+01
3.701480592236894851e-01 7.223788980444451794e+06 5.167778392576538958e+06 1.579289016275038016e+01 1.512865409548444617e+01
3.801520608243297294e-01 1.059834646649554558e+07 5.689349890888906084e+06 1.617620855318717332e+01 1.526912025765941117e+01
3.901560624249699738e-01 4.433790875182270072e+06 5.902670171165655367e+06 1.530476550412694259e+01 1.531043796060025208e+01
4.001600640256102737e-01 2.186095233652431518e+06 5.676377384153811261e+06 1.459762751202697117e+01 1.525390159874623563e+01
4.101640656262505180e-01 5.637051589032630436e+05 5.397905778025262989e+06 1.324228662588740058e+01 1.518648837242234428e+01
4.201680672268907069e-01 1.691685061683324166e+06 4.891111707936790772e+06 1.434123566806636774e+01 1.513704660393885604e+01
4.301720688275310067e-01 7.292709144654889591e+06 4.995762884261796251e+06 1.580238565973064624e+01 1.515048894321297901e+01
4.401760704281713066e-01 6.424757507979649119e+06 4.506584546212298796e+06 1.567566944608461910e+01 1.508606151366629611e+01
4.501800720288114954e-01 2.886175657324313186e+06 4.482314445306157693e+06 1.487544288178747465e+01 1.508041589116211156e+01
4.601840736294518508e-01 2.786800422422019765e+06 4.727483793414229527e+06 1.484040469371768545e+01 1.515347354957844139e+01
4.701880752300920396e-01 7.714374278562532738e+06 4.853285929273925722e+06 1.585859593596173589e+01 1.526618128990796919e+01
4.801920768307322840e-01 8.374951920019512996e+06 6.350166456294790842e+06 1.594075589476573285e+01 1.548194051500782109e+01
4.901960784313725283e-01 5.217384747951075435e+06 6.861858938818134367e+06 1.546750682817367029e+01 1.553394088390905381e+01
5.002000800320127727e-01 4.166819765214722604e+06 6.397670742181424052e+06 1.524266365658092148e+01 1.538998433100672614e+01
5.102040816326529615e-01 4.882958062841223553e+06 7.132381171416827478e+06 1.540126175460659397e+01 1.551135239839221391e+01
5.202080832332933724e-01 1.947528653359922813e+06 7.574566298886203207e+06 1.448207176951222053e+01 1.560316338884104859e+01
5.302120848339335613e-01 1.815737085891283676e+07 8.349959729904528707e+06 1.671458714416471025e+01 1.567085610589921885e+01
5.402160864345738611e-01 1.292132645241167583e+07 8.194118505210605450e+06 1.637438971764420614e+01 1.565003601629760333e+01
5.502200880352141610e-01 1.318687344975824235e+06 7.797117578876726329e+06 1.409214736415902713e+01 1.548512013993671665e+01
5.602240896358543498e-01 1.096799037891374715e+07 7.780197239150266163e+06 1.621049162302785618e+01 1.548096592055971144e+01
5.702280912364945387e-01 7.650836824585167691e+06 7.961897166524224915e+06 1.585032558865485797e+01 1.551215758489466090e+01
5.802320928371348385e-01 1.624370201976410672e+07 8.159307240269569680e+06 1.660321582360160875e+01 1.558025383807302511e+01
5.902360944377750274e-01 6.660698448386365548e+06 6.813034188186448067e+06 1.571173490914795856e+01 1.542656258930172797e+01
6.002400960384154383e-01 8.503745582783962600e+05 6.382245857874233276e+06 1.365343218820391868e+01 1.538502963369054655e+01
6.102440976390556271e-01 3.980696028223665431e+06 6.738614290141729638e+06 1.519696724343387295e+01 1.551043365407974939e+01
6.202480992396959270e-01 6.881657263954770751e+06 6.326278844070699997e+06 1.574437006229103808e+01 1.546192012507217584e+01
6.302521008403362268e-01 4.119039464558712207e+06 6.970336301209380850e+06 1.523113055447421615e+01 1.552150579816333398e+01
6.402561024409763046e-01 3.348367285998505075e+06 5.555607514359996654e+06 1.502398340768044349e+01 1.523324285855255233e+01
