# Solid Silica - BKS potential, melted and quenched
# 216 atoms, T~1000K, dens~2.295g/cm^3
# NVE, dt = 1.0 fs, 50 ns, output_step = 1.0 fs
# Temperature = 1065.705630 K, Volume = 3130.431110818 A^3
# LAMMPS metal units
c_flux1[1] c_flux1[2] c_flux1[3]
91.472925 630.61992 199.16002
71.403952 666.80601 274.30247
47.754737 678.10914 305.95706
20.414463 661.96938 291.6181
-11.254263 616.47319 235.02528
-48.866115 541.34651 146.01415
-95.048876 438.86937 39.054669
-152.98513 314.13552 -69.554583
-225.19634 174.54621 -164.95782
-312.26263 28.655574 -236.63924
-411.67094 -115.19152 -280.32975
-517.2423 -250.05879 -298.43163
-619.34716 -370.80383 -299.08096
-706.1485 -473.99384 -294.12339
-765.59072 -557.15048 -296.42621
-787.64904 -618.15227 -317.27903
-766.20448 -654.76465 -364.14822
-700.01788 -664.81004 -439.26879
-592.61326 -646.74673 -539.07804
-451.37086 -600.5134 -654.55181
-285.86509 -528.37293 -772.47438
-106.36464 -435.22517 -877.14106
77.384121 -328.30192 -952.52062
256.88084 -216.15792 -984.389
424.99272 -107.17928 -962.27094
575.79741 -8.1623097 -880.73935
704.32499 76.564871 -740.01356
806.24872 145.29129 -545.84073
877.86423 198.14821 -308.45868
916.45238 235.9426 -40.919763
920.71502 258.88718 242.80607
891.46705 266.10138 529.55568
831.71945 255.68411 807.84795
746.42844 225.68877 1067.8119
641.63449 175.19054 1300.5415
523.42864 105.02198 1497.5403
397.03856 18.102057 1650.6114
266.19322 -80.80889 1752.4392
133.00353 -185.67304 1797.7153
-1.8115703 -289.8692 1784.3851
-138.34996 -386.81634 1714.3378
-276.86999 -470.40254 1593.1659
-417.34506 -535.39641 1429.1856
-559.20765 -577.93765 1232.118
-701.19699 -595.90488 1011.9742
-841.1771 -589.18186 778.22036
-975.75244 -559.45316 539.41615
-1099.9783 -509.78625 303.19879
-1207.3595 -444.05508 76.468291
-1290.3022 -366.52159 -134.57329
-1340.8693 -281.55978 -324.76643
-1352.1083 -193.66099 -490.2877
-1319.5086 -107.57757 -628.78393
-1242.3382 -28.042457 -739.04394
-1124.2014 40.523986 -820.47429
-972.90935 94.687132 -872.45608
-799.45186 132.61629 -894.01733
-616.64692 154.5135 -883.84915
-437.64683 162.53327 -840.76115
-274.52218 160.13855 -764.20787
-137.02021 151.03043 -655.13163
-31.561254 138.0123 -516.4643
39.380984 122.13248 -353.39593
77.396017 102.47557 -173.1937
87.869501 76.517917 15.300918
79.143748 40.890243 202.28948
61.398479 -7.556821 377.76293
45.345731 -70.732716 532.29721
40.819144 -148.3694 657.90853
55.501953 -237.44521 748.63804
93.98974 -332.33038 801.05343
157.4423 -425.58741 814.30008
243.63344 -509.25173 790.18477
347.6764 -576.02546 732.99161
463.05719 -620.15196 649.2113
582.73713 -637.75847 547.02421
700.23893 -626.80777 435.61249
810.27276 -586.76516 324.20522
908.92922 -518.31549 221.12212
993.56323 -423.16227 133.1009
1062.209 -304.2641 64.618785
1112.8726 -165.84645 17.799747
1143.0947 -13.333924 -7.7115532
1149.8057 147.21895 -14.694194
1129.6875 309.88536 -8.217724
1079.9587 469.76227 4.7559827
999.24057 623.65654 16.048914
888.27351 770.0881 17.37558
750.17595 908.76392 1.8052412
590.31533 1039.2931 -34.97071
415.69457 1160.0594 -93.725821
234.19929 1267.2164 -171.52795
53.739877 1354.7207 -262.37753
-118.40995 1415.1316 -358.47604
-276.35086 1441.0349 -451.73276
-415.95211 1426.7255 -535.26926
-534.94325 1369.407 -604.36431
-632.61289 1269.8271 -656.77773
-709.40602 1131.9557 -692.52266
-766.38347 962.10898 -713.29637
-804.9555 767.84276 -721.78164
-826.47457 557.17533 -720.99266
-832.03081 338.04246 -713.77998
-822.555 118.10935 -702.51855
-799.03121 -95.397122 -688.84099
-762.88782 -295.9308 -673.47966
-716.49435 -477.91549 -656.2772
-663.21962 -637.07513 -636.34288
-607.39766 -770.59786 -612.62519
-553.99359 -877.10484 -584.29433
-508.12429 -956.53964 -551.29391
-474.47583 -1009.7184 -514.5217
-456.51894 -1038.0475 -475.95239
-455.74837 -1043.0486 -438.39978
-471.09716 -1025.8854 -404.99744
-498.48001 -987.21851 -378.28427
-531.19648 -927.1632 -359.38845
-560.71121 -845.62195 -347.42615
-578.07666 -742.687 -339.52286
-575.43724 -619.0344 -331.38116
-547.31281 -476.24934 -318.45752
-491.4566 -317.02335 -297.05242
-408.98481 -145.18196 -265.44815
-303.75662 34.359098 -224.27233
-181.23797 215.92547 -176.15706
-47.246319 393.24145 -124.7872
92.770224 559.45989 -74.255198
233.97506 707.26966 -28.603583
372.00512 829.21834 8.3688572
502.8595 918.6486 33.482058
622.7947 971.21431 44.829578
728.52737 986.07883 42.711607
817.53147 966.72516 30.4145
888.39021 920.48541 14.400576
941.06585 857.36825 3.5660721
976.92968 787.80358 7.4200486
998.56914 720.3286 33.456814
1009.4555 659.75701 84.584599
1013.4933 606.76363 157.53019
1014.4819 558.86121 242.92855
1015.3935 512.52901 326.83365
1017.4885 465.31632 393.34227
1019.419 417.3264 427.53517
1016.923 371.45971 418.23343
1002.9486 332.55949 360.36867
968.76803 305.87654 256.19577
905.56608 295.53476 115.41271
806.16942 303.40967 -46.036259
666.73028 328.76747 -208.16479
487.68754 368.65957 -349.72736
274.14322 418.46642 -451.22744
35.345665 472.50295 -497.49103
-216.44685 524.25882 -479.5305
-467.65202 566.46268 -395.46899
-704.88053 591.24955 -250.65834
-916.19297 590.60806 -56.915099
-1091.8804 557.17789 168.84734
-1224.9077 485.19644 406.64106
-1311.0394 371.45068 635.91456
-1348.5706 215.96831 838.19915
-1338.2201 22.3815 999.23488
-1283.045 -202.06529 1110.6335
-1188.5055 -446.83184 1170.4244
-1062.3813 -698.70532 1182.4921
-914.11871 -942.58753 1154.9785
-753.81287 -1162.5466 1097.7933
-590.99668 -1342.9085 1020.0477
-433.4468 -1469.5766 927.78299
-286.38266 -1531.3294 822.99049
-152.16441 -1521.0423 703.73717
-30.581511 -1436.4691 565.6253
80.455541 -1280.5008 403.77405
183.95234 -1060.6919 215.06824
283.09535 -788.39292 -0.4295055
380.59907 -477.15955 -238.82449
478.17782 -141.40484 -492.78034
576.26206 204.98097 -752.5305
673.913 549.33751 -1007.1455
768.88831 880.45523 -1245.5916
857.7745 1188.7794 -1457.332
936.11276 1466.4299 -1632.6201
998.85113 1707.3031 -1762.6559
1040.9425 1907.1883 -1839.8979
1058.1929 2063.8041 -1859.1664
1048.073 2176.6247 -1818.8788
1010.4162 2246.5339 -1721.9495
947.87756 2275.2178 -1575.68
865.65593 2264.6745 -1390.4243
770.63659 2216.8055 -1177.6014
669.90102 2133.4952 -947.84451
569.12191 2017.1121 -709.784
471.21359 1871.0346 -469.99161
375.72759 1700.0547 -233.82413
279.20628 1510.2199 -6.6969581
176.53615 1308.4412 204.80846
62.550376 1101.7125 393.15175
-66.552154 896.59434 550.93077
-212.20357 698.78268 672.42538
-372.93361 512.68181 754.7463
-544.10942 341.14142 798.19783
-718.28883 184.94752 805.89497
-885.84535 42.603097 782.8448
-1036.1219 -89.660834 734.92687
-1158.838 -217.38376 667.8562
-1245.7415 -346.83141 586.79948
-1292.0586 -483.43313 496.15904
-1297.5633 -630.18363 399.91337
-1266.6887 -786.6076 301.85224
-1207.6539 -948.73859 205.83317
-1130.8406 -1110.1312 115.69697
-1046.8148 -1263.246 35.202215
-964.43825 -1401.127 -32.125602
-889.5375 -1518.3704 -83.069108
-824.68096 -1611.758 -114.79257
-769.52257 -1680.1112 -124.95104
-721.93877 -1723.7134 -111.67158
-678.93568 -1743.495 -73.767804
-637.36005 -1740.3953 -10.986838
-594.04461 -1714.9327 75.676128
-545.64633 -1667.064 183.71472
-488.41629 -1596.304 309.08388
-418.14424 -1501.8448 446.03198
-330.31399 -1382.9188 587.3011
-220.89838 -1239.2385 724.25932
-87.398698 -1071.2019 847.41232
70.131789 -880.16449 947.12549
248.46941 -668.48219 1014.7136
441.35948 -439.37141 1043.8699
640.42463 -196.6788 1031.8924
836.46298 55.483021 980.47436
1020.8591 312.82009 895.46902
1186.7259 571.06909 785.7442
1329.5283 825.88052 661.43718
1447.1827 1072.6773 532.35758
1539.9055 1306.3542 406.69956
1609.6237 1521.2018 290.55337
1659.4026 1710.9784 188.03299
1692.6045 1869.3931 101.72223
1712.1054 1990.8363 33.288473
1719.4993 2071.173 -16.458121
1714.4548 2108.3407 -47.723029
1694.491 2102.6013 -62.110268
1655.4754 2056.34 -62.505565
1592.5927 1973.4227 -52.793574
1501.5094 1858.2844 -37.068377
1379.2725 1714.9214 -18.905396
1224.7876 1546.2585 -0.87224716
1038.7224 1353.8646 15.488717
823.1275 1138.4142 29.414519
581.03307 900.43155 40.330968
316.33082 641.30583 47.366207
33.748875 363.95033 48.976827
-260.73827 72.964508 42.708025
-559.57908 -225.73799 25.266362
-853.37611 -525.58228 -7.2238238
-1131.0775 -819.91843 -58.759018
-1380.4757 -1102.1983 -132.75234
-1588.9683 -1365.7904 -231.2764
-1744.6412 -1603.6663 -354.13285
-1837.4351 -1808.4133 -498.25679
-1860.4629 -1972.9329 -657.53517
-1811.0938 -2091.5259 -823.13353
-1691.5147 -2161.0802 -984.31461
-1508.7739 -2181.3703 -1129.7348
-1273.9944 -2154.8521 -1248.8322
-1001.4163 -2085.7361 -1332.9823
-707.11101 -1978.8313 -1376.0383
-407.67651 -1838.602 -1374.5745
-118.87962 -1668.3433 -1327.7392
145.53368 -1470.2058 -1236.5712
374.6207 -1245.885 -1102.8564
560.66532 -997.52912 -928.47298
699.15657 -728.37697 -715.99124
788.52246 -443.00732 -470.16068
829.65959 -147.33122 -198.96564
825.62609 151.38692 86.580417
781.19309 444.842 373.43263
702.57292 724.20822 648.11812
596.94186 980.94173 898.58481
472.08525 1207.5336 1116.0491
335.89347 1398.4537 1295.5874
195.94787 1550.9087 1435.4488
59.374434 1665.0757 1535.4269
-66.911731 1743.3688 1595.8427
-175.72847 1788.8057 1617.3438
-259.43831 1803.4313 1601.2945
-310.55215 1787.4261 1550.159
-322.87929 1739.1254 1467.6284
-292.93751 1655.9066 1358.2062
-220.77058 1535.7009 1226.5839
-109.72488 1378.3363 1076.9781
34.169576 1186.3871 912.62735
203.13622 965.30952 735.7487
388.42294 722.77804 547.93769
580.22183 467.95241 351.06304
767.37975 210.57021 148.21435
937.11599 -39.602279 -55.434746
1075.4098 -273.21038 -252.17313
1168.713 -481.63809 -431.93501
1206.3832 -657.36463 -583.2479
1183.0999 -794.11327 -694.5695
1100.2494 -887.27756 -756.14068
965.60364 -934.3932 -761.92589
791.38752 -935.89894 -711.07489
591.39295 -895.60187 -608.79291
378.10966 -820.74327 -466.18063
161.33504 -721.00563 -298.91943
-51.982909 -607.16848 -125.18188
-256.4991 -489.68648 36.829585
-447.08654 -377.69931 171.17609
-617.98948 -278.41592 265.89147
-763.14117 -196.89447 313.90746
-877.39084 -136.02888 313.13591
-958.06973 -96.844816 265.86833
-1006.0322 -78.939093 177.55011
-1025.4162 -80.79197 55.484858
-1022.4278 -100.05776 -92.083484
-1003.3032 -133.746 -256.78777
-972.55907 -178.5943 -430.57136
-932.09253 -231.34573 -606.19785
-881.47861 -289.06615 -777.24347
-819.12154 -349.34102 -938.17024
-743.88119 -410.39882 -1084.28
-656.44654 -470.99598 -1211.5768
-559.65019 -530.3387 -1316.7187
-457.74028 -587.71721 -1396.7332
-355.06903 -641.97387 -1448.7012
-254.88499 -690.99254 -1469.5742
-158.80708 -731.37132 -1456.2299
-67.104729 -758.4758 -1405.9547
20.241606 -766.97005 -1317.1604
102.47207 -751.75673 -1190.2361
177.23946 -708.77261 -1028.0255
240.62408 -635.68018 -835.8891
288.03833 -531.91123 -621.02636
315.32407 -398.28013 -391.5397
319.7089 -236.24279 -155.31037
300.54227 -47.347515 80.691146
259.42704 166.95328 310.55666
200.10275 404.65429 529.29006
127.8909 662.18365 732.41609
48.902707 933.18784 915.72613
-30.61147 1207.7865 1075.2768
-104.58368 1472.7006 1207.732
-167.27359 1712.5071 1310.8076
-213.70902 1911.8025 1383.8005
-240.4156 2057.6017 1427.5525
-246.34164 2141.2775 1444.1986
-233.02827 2159.4666 1436.6034
-204.11062 2113.7573 1407.6302
-164.05979 2009.3557 1359.5401
-117.18621 1853.2661 1293.5481
-66.773903 1652.7482 1209.8747
-15.080201 1414.4092 1108.0766
36.252823 1144.2429 987.58243
85.351829 848.29756 848.38169
129.15933 533.52345 691.5853
163.01722 208.66176 519.85827
180.88067 -115.78834 337.60833
176.34788 -428.29776 150.96731
144.08544 -717.5433 -32.378049
81.424816 -973.9427 -203.75189
-10.651103 -1190.8824 -354.08486
-126.93393 -1365.3989 -474.85796
-258.56826 -1498.0161 -559.16591
-394.22801 -1591.7352 -602.99353
-522.04192 -1650.592 -606.2791
-631.47157 -1678.0908 -573.71996
-715.1477 -1676.09 -514.54665
-769.70033 -1644.557 -441.37502
-795.89039 -1582.2482 -368.08554
-797.81919 -1488.0066 -307.43133
-781.58007 -1362.1758 -268.93266
-753.6327 -1207.4942 -257.71619
-719.50457 -1029.0843 -274.38177
-682.73865 -833.81141 -315.95598
-644.64308 -629.09704 -377.45411
-604.44883 -421.79391 -453.5666
-560.12987 -217.4469 -539.87976
-509.44369 -20.299808 -633.2115
-450.94666 166.15689 -731.29585
-384.65371 338.05201 -831.97937
-312.23614 490.21814 -932.54225
-236.77757 615.95097 -1029.2322
-162.23928 707.61927 -1117.2019
-92.870862 758.07168 -1190.8713
-32.703224 762.45471 -1244.4141
14.637563 719.86632 -1272.5373
46.154037 634.53903 -1270.984
59.465326 515.86808 -1236.9167
52.927909 377.32367 -1168.7547
25.917647 234.21921 -1066.0055
-20.687479 101.09347 -928.97342
-84.321925 -10.67741 -758.88548
-160.71589 -94.182631 -558.15457
-244.38147 -147.14144 -330.81203
-329.31253 -170.86509 -82.648241
-409.86647 -168.8198 178.97482
-481.36148 -145.21121 445.6246
-540.1944 -104.02086 708.8311
-583.7342 -48.725034 960.86895
-610.07457 17.618707 1195.5162
-617.86606 92.00499 1408.2101
-606.28104 171.33436 1595.8091
-575.11178 252.49001 1755.9867
-524.90949 332.58748 1886.7895
-457.06647 409.06991 1986.4079
-373.61622 479.55187 2053.2381
-276.92598 541.5602 2086.0687
-169.41133 591.98698 2084.0567
-53.473854 626.92069 2046.6337
68.304892 641.78308 1973.2527
192.85496 631.77888 1863.0689
316.3678 592.58811 1714.9397
434.05992 520.96061 1527.844
540.12993 415.37644 1301.5695
627.911 276.47299 1037.5974
690.63609 107.34803 739.81507
722.31874 -86.129551 414.84165
718.86681 -295.07517 71.947593
679.02958 -507.94073 -277.66897
604.928 -711.48136 -621.76516
502.18785 -892.49441 -948.26251
379.38728 -1039.6301 -1246.2998
247.22924 -1144.8268 -1506.8602
117.18554 -1203.9714 -1723.0287
0.38677994 -1216.81 -1889.7461
-93.568589 -1185.908 -2003.5124
-157.37243 -1115.3515 -2062.2204
-186.50789 -1009.7406 -2065.4835
-179.59704 -874.0219 -2015.0037
-138.48634 -713.61112 -1915.1457
-68.052176 -534.88284 -1772.9687
24.434157 -345.26644 -1597.6845
130.23268 -153.00672 -1399.4573
240.30615 33.466881 -1187.8265
346.57593 206.45523 -970.24616
442.56933 359.76755 -751.15753
